DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,RNAseqID_liver,RNAseqID_BAT,GUID,Collector_ID
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ1,F,COLD,148,72.5,17,13,10.89,MBSD_001,MBSD_100,MVZ:Mamm:240662,MAB196
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ19,F,COLD,143,71,17,13,10.86,MBSD_014,MBSD_113,MVZ:Mamm:240677,MAB211
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ21,F,COLD,147,73,17,13.5,11.83,MBSD_016,MBSD_115,MVZ:Mamm:240679,MAB213
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ25,F,COLD,150,75.5,17,13.5,11.62,MBSD_018,MBSD_117,MVZ:Mamm:240681,MAB215
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ29,F,COLD,148,73,17,13,11.34,MBSD_021,MBSD_120,MVZ:Mamm:240685,MAB219
12/18/2018,03/02/2019,74,10.57,BRAZIL,N11,MANA,193x255_BZ33,F,COLD,147,71,17.5,12.5,11.81,MBSD_023,MBSD_122,MVZ:Mamm:240688,MAB222
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ6,M,COLD,148,73,17,13.5,12.52,MBSD_005,MBSD_104,MVZ:Mamm:240667,MAB201
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ8,M,COLD,150.5,76,18,14,12.92,MBSD_007,MBSD_106,MVZ:Mamm:240669,MAB203
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ12,M,COLD,149,76,17,13.5,13.18,MBSD_011,MBSD_110,MVZ:Mamm:240673,MAB207
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ20,M,COLD,152,74,17.5,13,12.29,MBSD_015,MBSD_114,MVZ:Mamm:240678,MAB212
02/01/2019,04/21/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ28,M,COLD,156.5,75,18,13.5,14.05,MBSD_020,MBSD_119,MVZ:Mamm:240684,MAB218
04/22/2019,07/07/2019,76,10.86,BRAZIL,N13,MANA,193x255_BZ38,M,COLD,148,72,18,13,13.59,MBSD_024,MBSD_123,,
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ5,F,RT,144,74.5,17,14,9.38,MBSD_004,MBSD_103,MVZ:Mamm:240666,MAB200
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ7,F,RT,158,81,17.5,14,12.03,MBSD_006,MBSD_105,MVZ:Mamm:240668,MAB202
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ9,F,RT,157.5,79.5,17,15,11.39,MBSD_008,MBSD_107,MVZ:Mamm:240670,MAB204
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ11,F,RT,149,79.5,17,14,10.71,MBSD_010,MBSD_109,MVZ:Mamm:240672,MAB206
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ23,F,RT,156,77.5,17,14,11.79,MBSD_017,MBSD_116,MVZ:Mamm:240680,MAB214
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ27,F,RT,156,80.5,17,14,10.87,MBSD_019,MBSD_118,MVZ:Mamm:240683,MAB217
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ2,M,RT,145,76,17,13.5,10.35,MBSD_002,MBSD_101,MVZ:Mamm:240663,MAB197
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ4,M,RT,164.5,83,17.5,14.5,14.42,MBSD_003,MBSD_102,MVZ:Mamm:240665,MAB199
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ10,M,RT,151.5,78.5,17,14,12.78,MBSD_009,MBSD_108,MVZ:Mamm:240671,MAB205
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ14,M,RT,150,78,17.5,14,10.96,MBSD_012,MBSD_111,MVZ:Mamm:240675,MAB209
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ18,M,RT,149,80,17,14,10.92,MBSD_013,MBSD_112,MVZ:Mamm:240676,MAB210
02/01/2019,04/21/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ30,M,RT,160,83,18,14,14.05,MBSD_022,MBSD_121,MVZ:Mamm:240686,MAB220
6/29/18,9/10/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY5,F,COLD,163.5,69.5,18.5,13,12.52,MBSD_058,MBSD_157,MVZ:Mamm:240706,MAB240
7/20/18,10/1/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY7,F,COLD,161,73,18,12.5,16.76,MBSD_060,MBSD_159,MVZ:Mamm:240708,MAB242
11/13/2018,01/26/2019,74,10.57,NEW_YORK,N11,SARA,19x13_NY11,F,COLD,155,69,18,13,14.6,MBSD_064,MBSD_163,MVZ:Mamm:240712,MAB246
11/13/2018,01/26/2019,74,10.57,NEW_YORK,N11,SARA,19x13_NY13,F,COLD,144,66,17.5,13,13.62,MBSD_066,MBSD_165,MVZ:Mamm:240714,MAB248
12/30/2018,03/17/2019,77,11.00,NEW_YORK,N11,SARA,19x13_NY17,F,COLD,158.5,66.5,17,12,12.78,MBSD_070,MBSD_169,MVZ:Mamm:240718,MAB252
04/06/2019,06/20/2019,75,10.71,NEW_YORK,N12,SARA,19x13_NY23,F,COLD,159,74.5,19,13.5,16.69,MBSD_071,MBSD_170,MVZ:Mamm:240724,MAB258
6/29/18,9/10/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY4,M,COLD,163.5,70.5,18.5,13,15.3,MBSD_057,MBSD_156,MVZ:Mamm:240705,MAB239
7/20/18,10/1/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY6,M,COLD,160,71.5,18.5,12,18.52,MBSD_059,MBSD_158,MVZ:Mamm:240707,MAB241
8/10/18,10/22/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY10,M,COLD,159,73,18,13,17.06,MBSD_063,MBSD_162,MVZ:Mamm:240711,MAB245
11/13/2018,01/26/2019,74,10.57,NEW_YORK,N11,SARA,19x13_NY14,M,COLD,155,69.5,18,13,15.52,MBSD_067,MBSD_166,MVZ:Mamm:240715,MAB249
12/30/2018,03/17/2019,77,11.00,NEW_YORK,N11,SARA,19x13_NY16,M,COLD,154,68,18,12.5,16.2,MBSD_069,MBSD_168,MVZ:Mamm:240717,MAB251
04/06/2019,06/18/2019,73,10.43,NEW_YORK,N12,SARA,19x13_NY26,M,COLD,164,73,20,13.5,17.3,MBSD_074,MBSD_173,MVZ:Mamm:240727,MAB261
6/29/18,9/10/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY1,F,RT,171,72,18.5,13.5,12.96,MBSD_054,MBSD_153,MVZ:Mamm:240702,MAB236
6/29/18,9/10/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY3,F,RT,151,71,18,14,13.13,MBSD_056,MBSD_155,MVZ:Mamm:240704,MAB704
8/10/18,10/22/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY9,F,RT,160,74,18,13.5,14.48,MBSD_062,MBSD_161,MVZ:Mamm:240710,MAB244
11/13/2018,01/26/2019,74,10.57,NEW_YORK,N11,SARA,19x13_NY15,F,RT,146.5,67.5,18,13,11.32,MBSD_068,MBSD_167,MVZ:Mamm:240716,MAB250
04/06/2019,06/20/2019,75,10.71,NEW_YORK,N12,SARA,19x13_NY25,F,RT,151,70.5,18.5,14,14.08,MBSD_073,MBSD_172,MVZ:Mamm:240726,MAB260
04/28/2019,07/19/2019,82,11.71,NEW_YORK,N12,SARA,19x13_NY33,F,RT,159,72,19,14,17.23,MBSD_076,MBSD_175,MVZ:Mamm:240729,MAB263
6/29/18,9/10/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY2,M,RT,168,75.5,18,13,14.52,MBSD_055,MBSD_154,MVZ:Mamm:240703,MAB237
7/20/18,10/1/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY8,M,RT,155,70.5,18,13,13,MBSD_061,MBSD_160,MVZ:Mamm:240709,MAB243
8/10/18,10/22/18,73,10.43,NEW_YORK,N11,SARA,19x13_NY12,M,RT,164,76.5,19,14,19.11,MBSD_065,MBSD_164,MVZ:Mamm:240713,MAB247
04/06/2019,06/18/2019,73,10.43,NEW_YORK,N12,SARA,19x13_NY24,M,RT,158,73,19,14,17.95,MBSD_072,MBSD_171,MVZ:Mamm:240725,MAB259
04/19/2019,07/06/2019,78,11.14,NEW_YORK,N14,SARA,19x13_NY28,M,RT,162,76,20,14.5,17.91,MBSD_075,MBSD_174,,
04/28/2019,07/19/2019,82,11.71,NEW_YORK,N12,SARA,19x13_NY34,M,RT,156.5,72,19,14,16.31,MBSD_077,MBSD_176,MVZ:Mamm:240730,MAB264
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
